seq_id	insertion_date	mcl_clust	ap_clust
342	130769	mcl_28	ap_clust_8228
343	1146153	mcl_2	ap_clust_5133
344	496153	mcl_7	ap_clust_5823
345	0	mcl_25	ap_clust_9091
346	453846	mcl_19	ap_clust_4319
347	3296153	mcl_375	ap_clust_9357
348	1253846	mcl_3	ap_clust_6794
349	138461	mcl_54	ap_clust_5634
350	461538	mcl_1	ap_clust_5349
351	69230	mcl_6	ap_clust_7049
352	61538	mcl_4	ap_clust_10201
353	1561538	mcl_19	ap_clust_9765
354	265384	mcl_1	ap_clust_3526
355	115384	mcl_13	ap_clust_6426
356	0	mcl_2	ap_clust_1780
357	96153	mcl_36	ap_clust_10008
358	153846	mcl_2	ap_clust_1780
359	1480769	mcl_1	ap_clust_12382
360	1565384	mcl_41	ap_clust_5999
361	726923	mcl_30	ap_clust_5725
362	538461	mcl_6	ap_clust_7049
363	415384	mcl_13	ap_clust_9805
364	130769	mcl_6	ap_clust_7049
365	1426923	mcl_98	ap_clust_8342
366	238461	mcl_24	ap_clust_6228
367	92307	mcl_2	ap_clust_2029
368	242307	mcl_16	ap_clust_3001
369	130769	mcl_18	ap_clust_8623
370	357692	mcl_24	ap_clust_11616
371	2223076	mcl_1	ap_clust_11215
372	873076	mcl_11	ap_clust_6694
373	288461	mcl_5	ap_clust_6986
374	115384	mcl_1	ap_clust_448
375	326923	mcl_23	ap_clust_5479
376	130769	mcl_12	ap_clust_1513
377	1023076	mcl_8	ap_clust_4393
378	357692	mcl_1	ap_clust_5349
379	911538	mcl_1	ap_clust_7443
380	84615	mcl_47	ap_clust_11074
381	46153	mcl_5	ap_clust_802
382	23076	mcl_46	ap_clust_6996
383	503846	mcl_35	ap_clust_12092
384	3965384	mcl_33	ap_clust_5975
385	842307	mcl_11	ap_clust_7588
386	946153	mcl_8	ap_clust_4393
387	215384	mcl_16	ap_clust_3001
388	234615	mcl_4	ap_clust_407
389	1176923	mcl_9	ap_clust_9527
390	1607692	mcl_24	ap_clust_9288
391	719230	mcl_35	ap_clust_415
392	119230	mcl_4	ap_clust_6582
393	1157692	mcl_14	ap_clust_11896
394	692307	mcl_2	ap_clust_13524
395	57692	mcl_12	ap_clust_3502
396	723076	mcl_30	ap_clust_5725
397	719230	mcl_5	ap_clust_3282
398	411538	mcl_2	ap_clust_5474
399	384615	mcl_1	ap_clust_13156
400	57692	mcl_1	ap_clust_3526
401	126923	mcl_2	ap_clust_1780
402	1046153	mcl_2	ap_clust_5898
403	769230	mcl_1	ap_clust_7443
404	611538	mcl_1	ap_clust_6936
405	669230	mcl_211	ap_clust_405
406	534615	mcl_16	ap_clust_12069
407	61538	mcl_4	ap_clust_407
408	0	mcl_12	ap_clust_3502
409	315384	mcl_5	ap_clust_7095
410	2461538	mcl_15	ap_clust_9876
411	188461	mcl_2	ap_clust_1137
412	1138461	mcl_24	ap_clust_9288
413	2780769	mcl_7	ap_clust_12520
414	1000000	mcl_9	ap_clust_9527
415	492307	mcl_35	ap_clust_415
416	503846	mcl_5	ap_clust_6986
417	1623076	mcl_29	ap_clust_7053
418	684615	mcl_7	ap_clust_12729
419	130769	mcl_6	ap_clust_10614
420	692307	mcl_31	ap_clust_10304
421	992307	mcl_23	ap_clust_5479
422	57692	mcl_18	ap_clust_6582
423	300000	mcl_4	ap_clust_10201
424	0	mcl_6	ap_clust_7049
425	253846	mcl_6	ap_clust_9013
426	438461	mcl_1	ap_clust_2799
427	946153	mcl_59	ap_clust_3248
428	61538	mcl_1	ap_clust_10832
429	88461	mcl_1	ap_clust_3526
430	184615	mcl_18	ap_clust_13387
431	7642307	mcl_67	ap_clust_10359
432	326923	mcl_14	ap_clust_9266
433	357692	mcl_1	ap_clust_3526
434	103846	mcl_47	ap_clust_11074
435	61538	mcl_7	ap_clust_12729
436	1269230	mcl_42	ap_clust_10275
437	542307	mcl_47	ap_clust_11074
438	900000	mcl_1	ap_clust_6936
439	526923	mcl_6	ap_clust_9266
440	5773076	mcl_1	ap_clust_2799
441	1019230	mcl_62	ap_clust_6933
442	173076	mcl_1	ap_clust_448
443	1026923	mcl_32	ap_clust_3153
444	184615	mcl_20	ap_clust_6206
445	338461	mcl_35	ap_clust_415
446	2292307	mcl_1	ap_clust_11215
447	123076	mcl_16	ap_clust_1556
448	176923	mcl_1	ap_clust_448
449	311538	mcl_7	ap_clust_2432
450	523076	mcl_5	ap_clust_802
451	303846	mcl_4	ap_clust_6582
452	1523076	mcl_17	ap_clust_9164
453	65384	mcl_6	ap_clust_7049
454	0	mcl_100	ap_clust_5822
455	92307	mcl_20	ap_clust_2029
456	3034615	mcl_378	ap_clust_456
457	1315384	mcl_7	ap_clust_6803
458	2219230	mcl_34	ap_clust_7774
459	1796153	mcl_3	ap_clust_12415
460	719230	mcl_1	ap_clust_2799
461	2611538	mcl_22	ap_clust_4356
462	930769	mcl_8	ap_clust_1609
463	907692	mcl_9	ap_clust_13029
464	934615	mcl_7	ap_clust_12520
465	880769	mcl_14	ap_clust_11896
466	330769	mcl_6	ap_clust_10614
467	1484615	mcl_3	ap_clust_6794
468	88461	mcl_1	ap_clust_6936
469	680769	mcl_8	ap_clust_2713
470	123076	mcl_7	ap_clust_2432
471	1080769	mcl_19	ap_clust_12280
472	419230	mcl_5	ap_clust_6986
473	292307	mcl_8	ap_clust_1525
474	1607692	mcl_3	ap_clust_6794
475	1280769	mcl_10	ap_clust_11708
476	0	mcl_4	ap_clust_6582
477	0	mcl_7	ap_clust_12729
478	415384	mcl_4	ap_clust_407
479	880769	mcl_9	ap_clust_9527
480	526923	mcl_14	ap_clust_189
481	1357692	mcl_3	ap_clust_7980
482	123076	mcl_18	ap_clust_13387
483	1223076	mcl_26	ap_clust_3148
484	0	mcl_5	ap_clust_802
485	761538	mcl_13	ap_clust_734
486	23076	mcl_16	ap_clust_7610
487	153846	mcl_20	ap_clust_12495
